,Unnamed: 0,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
0,0,57,616,2,1,3,-153263.20075894924,0.23,42658.02,-107515.07470860363
1,1,45,591,1,1,1,161474.30730573952,0.24,248327.61,363252.58813124994
2,2,59,613,1,1,1,14209.331170472313,0.09,24371.94,36083.54018449791
4,4,45,567,2,1,5,282353.1824904715,0.22,47808.66,330315.6242413387
5,5,40,300,1,1,1,186133.53589746484,0.12,31875.4,213120.99152639287
6,6,35,318,1,1,1,101335.18715003086,0.03,31627.77,119308.76936011246
7,7,57,545,1,1,1,-129635.97651341364,0.08,90134.48,-92037.92117635123
8,8,44,316,1,1,1,-164230.28973520375,0.29,153383.25,-9829.235933323776
9,9,54,538,2,1,5,-100385.68158060308,0.23,30736.38,-63230.73658851668
10,10,40,316,1,1,1,-256997.4062920032,0.12,46493.72,-224512.4051461728
12,12,46,591,1,1,1,43015.849398840575,0.24,81370.26,119218.05431324698
13,13,58,613,1,1,1,-177223.18834805524,0.12,61418.26,-139125.48081949202
14,14,40,644,3,1,5,16123.378077014168,0.25,45892.81,67079.66042705417
15,15,45,644,2,1,5,144259.26616964306,0.18,29561.58,175935.20412984144
16,16,48,352,1,1,1,-122897.38481720704,0.17,109107.45,-49768.30469526304
18,18,44,300,1,1,1,489740.55883946974,0.35,28075.64,535536.0994611337
19,19,52,587,1,1,1,68323.38367680064,0.35,39124.78,126238.47846372865
20,20,57,561,1,1,1,-39909.54341443597,0.22,63026.22,18544.887341986436
21,21,56,561,1,1,1,15876.285102139278,0.23,123495.81,119892.71700801607
22,22,47,308,1,1,1,481647.3761496623,0.12,62843.4,520281.0393843503
23,23,42,617,2,1,3,273340.95536635723,0.24,20743.65,303943.1805278933
24,24,42,286,1,1,1,32885.36982068384,0.04,58682.2,55241.62018625184
25,25,41,346,1,1,1,-92628.20629301402,0.19,173856.79,25894.44378181958
26,26,36,308,1,1,1,-17091.54788181004,0.01,68757.75,63.27599822996217
27,27,49,308,1,1,1,51771.2351944449,0.17,39639.95,87890.1764727889
28,28,37,310,1,1,1,99042.6361841256,0.13,79011.7,146232.92562078158
29,29,41,288,1,1,1,-48963.55036090561,0.19,91329.38,20418.331688633596
30,30,37,321,1,1,1,200707.693351556,0.01,47179.61,217186.27213400562
31,31,41,339,1,1,1,-170263.2794560638,0.16,18738.56,-145867.20781251823
32,32,57,578,1,1,1,103153.5479678066,0.07,7661.9,116327.23126449459
33,33,52,331,1,1,1,47346.89854924133,0.34,144416.22,216227.90343549414
35,35,53,621,3,1,1,-192482.046027303,0.1,27982.2,-168712.603633383
36,36,46,660,3,1,3,228424.97414615643,0.02,34971.71,245616.95616516762
37,37,36,318,1,1,1,-117105.97405042702,0.04,187300.95,-78626.40644885901
38,38,36,562,1,1,1,248088.42173158744,0.14,31657.03,276977.97656739864
39,39,53,587,3,1,5,-29999.525192713496,0.12,211309.96,64468.3017035937
40,40,44,647,1,1,1,-145485.470259673,0.16,51887.25,-104467.65894511298
41,41,52,551,1,1,1,38423.50199144202,0.32,68751.27,122371.36762303242
43,43,58,561,1,1,1,115164.68494862856,0.3,42458.79,170083.6240978606
45,45,58,578,3,1,3,-76152.12977154632,0.19,21363.84,-48431.07738944071
46,46,59,552,1,1,1,70608.95330695083,0.3,68136.23,149669.32853733483
47,47,47,352,1,1,1,-16805.635923251513,0.31,13052.38,10875.014382729285
48,48,43,343,2,1,4,-74450.23492616149,0.26,39049.45,-27631.83087100948
49,49,58,299,2,1,2,54474.15652553393,0.21,10855.47,76618.42965381712
51,51,58,614,1,1,1,26081.51110228662,0.32,74806.7,116102.12235707062
52,52,57,561,3,1,3,-156766.05452016505,0.15,129884.1,-80708.78599752506
53,53,57,561,2,1,5,53907.622742241954,0.33,78668.12,150266.10433794756
54,54,36,586,2,1,5,-300932.71179366106,0.08,56216.08,-271838.5040423907
55,55,41,345,3,1,3,-155386.19432056436,0.12,88141.94,-107238.45045546358
56,56,45,345,2,1,3,-318099.0412904626,0.06,7139.79,-306046.81759565615
57,57,56,561,1,1,1,2461.4020875907363,0.15,174692.59,99582.71159772672
58,58,54,323,3,4,2,-231146.0318660896,0.34,24218.73,-190340.0489268544
59,59,54,309,2,4,3,-12806.915851703556,0.33,104263.74,110022.52728090766
60,60,49,336,1,1,1,231441.34599615284,0.03,61816.81,252253.24378407767
61,61,42,319,1,1,1,130759.59859973984,0.15,157907.15,219990.23390609986
62,62,44,339,3,1,3,-304540.0210990801,0.12,94991.87,-253816.2081670417
63,63,59,339,2,1,3,90914.20617094856,0.22,376312.67,365368.967400155
65,65,52,591,1,1,1,-36269.28292974959,0.3,49733.75,25489.43393225041
66,66,46,308,3,4,5,90987.8405475623,0.17,61559.74,138784.9690547911
67,67,39,587,3,1,1,77235.72721445581,0.02,59571.22,95969.57503289421
68,68,53,621,1,1,1,-103836.88056915942,0.01,37751.87,-87653.76112455621
69,69,38,318,2,1,5,-234147.52690218712,0.31,75290.88,-146000.91911804632
70,70,39,318,3,1,5,48841.01844383768,0.12,88026.35,96945.2921094697
71,71,56,614,1,1,1,17052.563325526007,0.1,79522.49,56974.40274759001
72,72,36,360,2,1,5,-41291.95872972282,0.25,73312.87,31147.501909357175
73,73,35,332,1,1,1,154144.34565725044,0.12,159441.68,229105.94815954805
74,74,41,562,1,1,1,-60060.31403003638,0.15,21611.6,-34900.90834139639
75,75,53,551,3,1,3,-22383.21130112624,0.18,122493.94,61716.65900148496
76,76,51,551,3,1,3,68897.18315702399,0.24,20579.23,99375.74069685118
77,77,46,551,2,1,5,-36004.11969600011,0.21,130420.85,64829.305666775894
79,79,58,578,1,1,1,295660.46547998633,0.24,63965.45,358771.73584267433
81,81,58,578,1,1,1,-218667.17030405908,0.29,160078.61,-58181.0958784607
82,82,58,613,1,1,1,-142302.07128242185,0.17,56648.2,-97121.65961883786
83,83,60,656,3,1,3,23880.757771127057,0.31,69421.76,106325.39715380865
86,86,60,299,1,1,1,566626.7210408133,0.09,52771.61,596511.1773929397
87,87,44,304,1,1,1,58241.12243267061,0.2,104522.24,138754.32457999862
88,88,40,286,3,1,5,-149009.61201093585,0.07,57160.46,-121470.00637499665
89,89,40,336,1,1,1,68205.02537586076,0.2,95143.59,142839.80974990877
90,90,59,308,1,1,1,-5160.777793190488,0.05,144027.12,32407.811024025512
91,91,48,302,1,1,1,-15102.0281018622,0.2,87203.32,54555.89667164181
92,92,42,337,1,1,1,12453.799121462103,0.29,14758.88,40867.2808734493
93,93,54,621,1,1,1,-98606.17089825076,0.09,10895.86,-80532.94738680437
95,95,46,308,1,1,1,-112742.5766807204,0.31,64365.24,-35210.448417482
96,96,35,344,1,1,1,85714.04587024963,0.33,58251.76,160957.95082027843
98,98,47,644,1,1,1,123068.31747253932,0.09,52899.96,152988.97548636972
99,99,59,613,3,1,3,-75397.65738214241,0.01,25503.55,-59598.39244741441
100,100,52,569,2,1,3,1848.4674081593148,0.04,54640.49,23698.059354904915
101,101,48,593,3,1,5,19046.270499889462,0.25,160142.23,159515.1454292095
103,103,39,318,3,1,3,95933.85247965416,0.05,57786.34,119988.78704136616
104,104,37,318,2,1,3,7424.720190636249,0.25,63316.68,72032.32590375625
105,105,59,593,2,1,3,137729.87877768106,0.28,37000.06,185197.50838780586
106,106,45,593,3,1,3,40014.55173178135,0.01,215954.02,61782.41250800855
107,107,58,587,1,1,1,371793.1304393215,0.23,62727.65,432007.5517613135
108,108,47,578,3,1,3,-99001.55058647488,0.25,28268.3,-61853.78982927489
110,110,49,305,1,1,1,91594.17743422095,0.04,75531.16,116062.57029205136
111,111,49,302,1,1,1,162338.2463931727,0.13,112679.4,223245.15004856468
112,112,49,294,1,1,1,192751.98608077937,0.07,32318.91,214841.9637678626
